"Code","Company","Sector","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)"
"CTD","Corporate Travel Management Ltd","Consumer Discretionary","950,488,000",0.0146249629184068,1.13376934234699,0.723309030461678,0.597675855457491
"CTX","Caltex Australia Ltd","Energy","5,573,460,000",0.0141770116116927,1.12953205366107,0.553527054757306,0.378240361993663
"CUV","Clinuvel Pharmaceuticals Ltd","Health Care","944,232,000",-0.0563533808478479,0.432735233220733,0.310038323035177,0.0981896885716553
"CWN","Crown Resorts Ltd","Consumer Discretionary","5,146,400,000",-0.0122314780453416,0.965250335215349,0.601803908701283,0.808782342967022
"CWY","Cleanaway Waste Management Ltd","Industrials","3,477,150,000",0.00906485335119048,0.97646669451652,0.750704280093536,0.89295728145637
"DHG","Domain Holdings Australia Ltd","Communication Services","1,180,210,000",0.0731241469955121,1.63828975990629,0.0544386191946311,0.0116091465953497
"DMP","Domino's PIZZA Enterprises Ltd","Consumer Discretionary","4,406,780,000",-0.0206217510508777,0.831895971000746,0.534123351481372,0.409123896387183
"DOW","Downer Edi Ltd","Industrials","1,772,210,000",0.0429198348796141,1.31762112871377,0.218197842283851,0.13847083505273
"DXS","Dexus","Real Estate","9,966,290,000",-0.0104960968430354,0.89874468753378,0.509443305035913,0.300708282812574
"EHE","Estia Health Ltd","Health Care","349,860,000",-0.0353536558366768,0.919825822577076,0.346904809851222,0.727036945860134
"ELD","Elders Ltd","Consumer Staples","1,170,660,000",-0.0281604074847424,0.736035075223163,0.440494243784215,0.239997973443151
"EML","EML Payments Ltd","Information Technology","748,463,000",0.134598123187189,1.74405892246827,0.00503894241875851,0.0109414347348333
"EVN","Evolution Mining Ltd","Materials","6,510,820,000",-0.072240152427204,0.389849901634275,0.118318340095438,0.0330961321885962
"FBU","Fletcher Building Ltd","Materials","2,670,590,000",0.0389670334763696,1.34245679442641,0.198263401872716,0.06728098322914
"FLT","Flight Centre Travel Group Ltd","Consumer Discretionary","1,002,290,000",0.0283153453799915,1.34458996418922,0.634835496228793,0.347320067419067
"FMG","Fortescue Metals Group Ltd","Materials","30,789,600,000",0.0527800754435381,1.15930411267842,0.218864762648824,0.542958197989983
"FPH","Fisher & Paykel Healthcare Corporation Ltd","Health Care","16,570,300,000",0.0109588291231026,0.895819464594358,0.710284023685656,0.565007888124494
"GEM","G8 Education Ltd","Consumer Discretionary","384,248,000",-0.0592646880063942,0.757634846980172,0.203170272391091,0.394129534936244
"GMG","Goodman Group","Real Estate","22,123,800,000",-0.00341484842292042,0.900147424966961,0.823194644897026,0.288981642090042
"GNC","Graincorp Ltd","Consumer Staples","707,164,000",0.0116491541941577,1.20099163531557,0.799841942711028,0.476449803517558
"GOR","Gold Road Resources Ltd","Materials","1,209,610,000",-0.0225747960678787,0.739978329873834,0.61143017455156,0.341336800621063
"GOZ","Growthpoint Properties Australia","Real Estate","1,944,890,000",0.00570655235491419,1.03402635971515,0.78199807050297,0.787861914447062
"GPT","GPT Group","Real Estate","7,070,980,000",-0.00466479554106019,0.978973910189441,0.820767482931423,0.86771907219941
"GUD","G.U.D. Holdings Ltd","Consumer Discretionary","812,390,000",0.0121696427639827,1.06385543349388,0.637864547126413,0.687035113256789
"GWA","GWA Group Ltd","Industrials","686,264,000",0.0016624734292665,1.00324328204934,0.96464398097371,0.988747870194355
"HLS","Healius Ltd","Health Care","1,289,080,000",-0.00527617272870078,1.05996166367307,0.896513876590088,0.809541137916976
"HUB","HUB24 Ltd","Financials","483,915,000",-0.0609470138700029,0.3932368617349,0.170133488183661,0.0279790262740981
"HVN","Harvey Norman Holdings Ltd","Consumer Discretionary","3,675,720,000",-0.0118846664270746,0.942311937274004,0.641984627199061,0.712745337797016
"IAG","Insurance Australia Group Ltd","Financials","14,328,500,000",-0.0370576252906775,0.73333451308173,0.0736444803415386,0.0367797345746628
"IEL","Idp Education Ltd","Consumer Discretionary","2,941,380,000",0.0436743058742861,1.14792124010018,0.297921726583699,0.574237471403931
"IFL","IOOF Holdings Ltd","Financials","1,284,940,000",0.0441648842091786,1.38764054027798,0.227924566760702,0.0864715307582289
"IGO","IGO Ltd","Materials","2,499,070,000",0.0460974286543819,1.31914430242081,0.192617922616143,0.142106117484544
"ILU","Iluka Resources Ltd","Materials","2,949,640,000",-0.000811652866189585,1.02016654849058,0.981670956696849,0.925833700790227
"INA","Ingenia Communities Group","Real Estate","901,390,000",0.0716593960171294,1.42423284905217,0.583613736928154,0.5966397103669
"ING","Inghams Group Ltd","Consumer Staples","1,222,830,000",-0.0837403073162464,0.405046823347138,0.0102108461974002,0.00400647987653751
"IPH","IPH Ltd","Industrials","1,545,800,000",-0.022615658982192,0.792907118657345,0.606663105338007,0.442650170579292
"IPL","Incitec Pivot Ltd","Materials","3,259,150,000",-0.0247367738332553,0.909499985141607,0.31915484817119,0.551119105561048
"IRE","Iress Ltd","Information Technology","1,833,120,000",-0.0149527590770938,0.893061697642291,0.553518648600223,0.489782536598312
"IVC","Invocare Ltd","Consumer Discretionary","1,231,610,000",0.00836216356242799,1.07467108726215,0.729159859687792,0.614316165455296
"JBH","JB Hi-Fi Ltd","Consumer Discretionary","3,216,730,000",-0.00439703239128495,0.924662326943135,0.885514879808221,0.687637215114603
"JHG","Janus Henderson Group Plc","Financials","1,079,440,000",0.0257791587629293,1.25322659161354,0.384322494861507,0.165647752338353
"JHX","James Hardie Industries Plc","Materials","8,207,040,000",0.0814462583573386,1.52015252826137,0.00102831801281339,0.00065945782001903
"JIN","Jumbo Interactive Ltd","Consumer Discretionary","587,408,000",0.0146820109941163,0.823822590733133,0.763111781716498,0.555772478639601
"LLC","Lendlease Group","Real Estate","5,817,370,000",0.0580279307291805,1.42101286249288,0.0485016265529795,0.0204110808182321
"LNK","Link Administration Holdings Ltd","Information Technology","1,712,960,000",-0.0292969613137008,0.909062414429806,0.374262653153725,0.659917549272932
"LYC","Lynas Corporation Ltd","Materials","1,007,710,000",-0.020641273007521,0.737445166712332,0.784123241127,0.570271919989816
"MFG","Magellan Financial Group Ltd","Financials","7,932,840,000",0.0631957900508902,1.30372834853861,0.0428991918326528,0.110012319307962
"MGR","Mirvac Group","Real Estate","8,221,940,000",0.0234522346249588,1.13122072013118,0.170516976609724,0.210437816684809
"MIN","Mineral Resources Ltd","Materials","2,631,690,000",0.0143211607604379,1.01253542185571,0.735090152766947,0.961457221421586
"MMS","Mcmillan Shakespeare Ltd","Industrials","550,180,000",-0.0182427783520333,0.934183089912202,0.593624513142124,0.753356804919956
"MND","Monadelphous Group Ltd","Industrials","970,380,000",0.0435091430182946,1.27421057341789,0.212763723220477,0.2004900334733
"MPL","Medibank Private Ltd","Financials","7,325,650,000",-0.0561719056320757,0.598003148481552,0.0330944918419342,0.0135334047757233
"MQG","Macquarie Group Ltd","Financials","30,388,200,000",0.0337042155567182,1.19554777911302,0.0977110016334147,0.116662093828157
"MTS","Metcash Ltd","Consumer Staples","2,864,160,000",-0.0351047480695842,0.670691104252164,0.376338015678162,0.177945628723012
"MYX","Mayne Pharma Group Ltd","Health Care","520,511,000",-0.0728987503375005,0.672426797929894,0.146759788394961,0.285509397382805
"NAB","National Australia Bank Ltd","Financials","49,775,600,000",0.00491364925625097,1.08030810799484,0.788976908638209,0.476480565479754
"NAN","Nanosonics Ltd","Health Care","1,683,040,000",0.0765187225434027,1.37969668990694,0.0343211961317068,0.084645207442765
"NCM","Newcrest Mining Ltd","Materials","17,721,800,000",-0.0479108016424658,0.636199796295747,0.168646275970298,0.0896839891327338
"NEA","Nearmap Ltd","Information Technology","511,277,000",-0.0672750775858586,0.491328589067963,0.256900388082103,0.163359760921073
