"Code","Company","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)","alpha.rtns","Exp.Rtn","Exp.Rtn.SD","Rtn.SD","Sharpe","RP.Exp.Rtn","RP.Exp.Rtn.SE","RP.Rtn.SD","RP.Sharpe","Rep. Port. Superior?"
"CIN","Carlton Investments Ltd","556,762,000",-0.00555234248684099,0.671316689190697,0.418773568565861,0.0344220619786238,"FALSE",-0.00652233751538088,0.00785042463824284,0.0597870528295412,-0.109092808671749,-0.000140456914193725,0.00399782856721408,0.0304465552840434,-0.00461322842217674,"TRUE"
"CLF","Concentrated Leaders Fund Ltd","56,431,400",-0.00337283000443851,0.735028400982894,0.577260541427184,0.0525813489856491,"FALSE",-0.00435615518040423,0.00739687169645453,0.0563328965333844,-0.0773287980642476,-0.000153787061619554,0.00437724487783198,0.0333361038183733,-0.00461322842217673,"TRUE"
"CVF","Contrarian Value Fund Ltd","50,836,900",0.000106393595294657,0.263799750028744,0.991953145243674,0.0026063828782419,"FALSE",-0.000778338288923043,0.0105274987995688,0.0801750422297705,-0.00970798726482031,-5.51937698715364e-05,0.00157098161519006,0.0119642395347711,-0.00461322842217672,"TRUE"
"D2O","Duxton Water Ltd","155,007,000",0.0102495535627844,-0.196331462532852,0.456245879413753,0.000189428733897188,"FALSE",0.00937359334088583,0.0135324470721054,0.0877002804892439,0.106882136392203,4.10776490895069e-05,0.0011691941258052,0.00890431717884131,0.0046132284221767,"FALSE"
"DJW","Djerriwarrh Investments Ltd","531,480,000",-0.00845371872969403,0.702803347768178,0.581780843032781,0.384940953554155,"FALSE",-0.00943030158626393,0.0156930738411796,0.119514889707992,-0.0789048260790333,-0.000147044742223732,0.00418533807677047,0.0318745851640167,-0.00461322842217666,"TRUE"
"DUI","Diversified United Investment Ltd","813,670,000",0.00180978205788179,0.622675754429923,0.836052495385347,0.0563148497641858,"FALSE",0.000849963978179914,0.00939091979761733,0.071519114434019,0.0118844309651521,-0.000130279965355714,0.00370816182474556,0.0282405190970885,-0.00461322842217676,"FALSE"
"EAF","Evans & Partners Asia Fund","144,500,000",-0.00179700498268635,0.494062112640029,0.840134402139287,0.00245794838884044,"FALSE",-0.00537423797180152,0.0107121435548372,0.0502444069510993,-0.106961914726788,-0.000103370645894578,0.0029422412099893,0.022407441478001,-0.00461322842217683,"TRUE"
"EAI","Ellerston Asian Investments Ltd","124,007,000",0.000727006049009485,0.144292736778458,0.953644269804883,0.00347397077307875,"FALSE",0.000217245644699645,0.0123444362359359,0.0907127098210977,0.00239487548247752,-3.0189793989633e-05,0.000859292841102834,0.00654417930933236,-0.00461322842217675,"FALSE"
"ECL","Excelsior Capital Ltd","34,793,400",0.00199719223716138,-1.2453640538069,0.950130711648387,0.000523928897430922,"FALSE",0.006281561164011,0.033902473264556,0.172869372735029,0.0363370391448072,0.000260562555440677,0.0074163983572237,0.0564816071513175,0.0046132284221767,"FALSE"
"ECP","ECP Emerging Growth Ltd","15,020,800",0.00111853999145524,0.445775306507984,0.969875189440925,0.325553052918487,"FALSE",-0.000495327674499019,0.0291600927314356,0.159716405679497,-0.00310129490074421,-9.32677899775655e-05,0.00265468337613456,0.0202174662605496,-0.00461322842217669,"FALSE"
"EFF","Evans & Partners Australian Flagship Fund","23,435,300",-0.00748550271130588,1.1979620359125,0.477685101444643,0.254959883671003,"FALSE",-0.0169339564243668,0.0191257961927624,0.0876454087796319,-0.19320985160722,-0.00025064482023879,0.00713410961878902,0.0543317601690584,-0.00461322842217673,"TRUE"
"EGD","Evans & Partners Global Disruption Fund","278,122,000",0.012702044174642,0.340172725241193,0.236452043671726,0.00305373001387585,"FALSE",0.0114077820907753,0.010804815789679,0.0611212681148278,0.186641776956323,-7.11729829595735e-05,0.00202579834622582,0.0154280205630902,-0.00461322842217665,"FALSE"
"EGF","Evans & Partners Global Flagship Fund","188,152,000",-0.00510483996171598,0.319561121160909,0.452028574061787,3.04482318453843e-05,"FALSE",-0.00600123857528295,0.0069468822021884,0.052905878645031,-0.113432358160951,-6.68604992208056e-05,0.00190305201660961,0.0144932123671555,-0.00461322842217676,"TRUE"
"EGI","Ellerston Global Investments Ltd","93,717,400",-0.0040800157339096,0.623612409478697,0.704386214369173,0.119339673977521,"FALSE",-0.00504002978621269,0.0112359610852238,0.085570530251381,-0.0588991300089711,-0.000130475937956921,0.00371373979766343,0.0282829996732216,-0.00461322842217675,"TRUE"
"FGG","Future Generation Global Investment Company Ltd","421,889,000",-0.00252987356871176,0.43675555935994,0.600634802773582,3.14165706353468e-06,"FALSE",-0.00239148567558195,0.00544990492812823,0.0400484586617808,-0.0597147994078535,-9.13806242454753e-05,0.00260096893197115,0.0198083892412934,-0.00461322842217677,"TRUE"
"FGX","Future Generation Investment Company Ltd","346,467,000",-0.00542161996211867,0.705211813676281,0.151624624151164,0.000779825853542016,"FALSE",-0.00639870673240745,0.00559493740731042,0.0426097738355867,-0.150169929488417,-0.000147548655942611,0.00419968098521535,0.0319838175004111,-0.00461322842217678,"TRUE"
"FOR","Forager Australian Shares Fund","71,721,600",-0.0200620888401431,1.06653033610842,0.155579930792466,0.821208471404203,"FALSE",-0.0217457669446302,0.0159219725976897,0.0994326870031262,-0.218698373744507,-0.000223145889735556,0.00635140689059121,0.0483708737817633,-0.00461322842217678,"TRUE"
"FPC","Fat Prophets Global Contrarian Fund Ltd","28,353,800",-0.00970166778854298,0.836854500202961,0.479699620593352,0.563127435209267,"FALSE",-0.0122034800374064,0.0150292346745987,0.090175408047592,-0.135330466494432,-0.000175091730356566,0.00498364018261833,0.0379542728720874,-0.00461322842217676,"TRUE"
